"","council","school","girlCode"
"1","Gateway Council","Ribault","313HB060202"
"2","Gateway Council","Ribault","313HB060202"
"3","Gateway Council","Waverly","313KH120302  "
"4","Gateway Council","Waverly","313KH120302  "
"5","Gateway Council","Lakeshore","313TW010504"
"6","Gateway Council","Lakeshore","313TW010504"
"7","Gateway Council","The Bridge","313TB110302"
"8","Gateway Council","The Bridge","313TB110302"
"9","Tropical Council","Cutler Bay Academy","319SW111400"
"10","Tropical Council","ASPIRA South Charter School","319YL092403"
"11","Tropical Council","ASPIRA South Charter School","319AS112003"
"12","Tropical Council","ASPIRA South Chater School","319AS092801"
"13","Southeast Council","Lauderdale Lakes Middle","321JR051302"
"14","Southeast Council","Lauderdale Lakes Middle","321AI022702"
"15","Southeast Council","Lauderdale Lakes Middle","321AI022702"
"16","West Central Council","Blake Academy","320SL061102"
"17","West Central Council","Blake Academy","320SB093001"
"18","West Central Council","Blake Academy","320MH081602"
"19","Tropical Council","Cutler Bay Academy","319SW111400"
"20","Tropical Council","Aspira South","319YL092403"
"21","Tropical Council","Aspira South","319AS112003"
"22","Tropical Council","Aspira South","319AS092801"
"23","Tropical Council","Aspira South","319RO073004"
"24","Tropical Council","Aspira South","319DA011704"
"25","Southeast Council","LLM","321JP061803"
"26","West Central Council","Blake Academy","320SB093001"
"27","West Central Council","Blake Academy","320SL061102"
"28","West Central Council","Blake Academy","320MH081602"
"29","Southeast Council","LL","321JP061803"
"30","Southeast Council","LL","321JR051302"
"31","Tropical Council","ASPIRA South Charter School","319RO073004"
"32","Tropical Council","ASPIRA South Charter School","319DA011704"
"33","Tropical Council","ASPIRA South Charter School","319IS122903"
"34","Tropical Council","ASPIRA South Charter School","319IS122903"
